sex,age,headL,skullW,totalL,tailL,age_days
m,8,94.1,60.4,89.0,36.0,2922.0
f,6,92.5,57.6,91.5,36.5,2191.5
f,6,94.0,60.0,95.5,39.0,2191.5
f,6,93.2,57.1,92.0,38.0,2191.5
f,2,91.5,56.3,85.5,36.0,730.5
f,1,88.3,54.8,90.5,35.5,365.25
m,2,95.3,58.2,89.5,36.0,730.5
f,6,94.8,57.6,91.0,37.0,2191.5
f,9,93.4,56.3,120.4,55.3,3287.25
f,6,91.8,58.0,89.5,37.5,2191.5
f,9,93.3,57.2,89.5,39.0,3287.25
f,5,94.9,55.6,92.0,35.5,1826.25
m,5,95.1,59.9,89.5,36.0,1826.25
m,3,95.4,57.6,91.5,36.0,1095.75
m,5,92.9,57.6,85.5,34.0,1826.25
m,4,91.6,56.0,86.0,34.5,1461.0
f,1,86.3,60.1,89.5,36.5,365.25
m,2,93.5,55.7,90.0,36.0,730.5
f,5,94.4,55.4,90.5,35.0,1826.25
f,4,94.8,56.3,89.0,38.0,1461.0
f,3,95.9,58.1,96.5,39.5,1095.75
m,3,96.3,58.5,91.0,39.5,1095.75
f,4,92.5,56.1,89.0,36.0,1461.0
m,2,94.4,54.9,84.0,34.0,730.5
m,3,95.8,58.5,91.5,35.5,1095.75
m,7,96.0,59.0,90.0,36.0,2556.75
f,2,90.5,54.5,85.0,35.0,730.5
m,4,93.8,56.8,87.0,34.5,1461.0
f,3,92.8,56.0,88.0,35.0,1095.75
f,2,92.1,54.4,84.0,33.5,730.5
m,3,92.8,54.1,93.0,37.0,1095.75
f,4,94.3,56.7,94.0,39.0,1461.0
m,3,91.4,54.6,89.0,37.0,1095.75
m,2,90.6,55.7,85.5,36.5,730.5
m,4,94.4,57.9,85.0,35.5,1461.0
m,7,93.3,59.3,88.0,35.0,2556.75
f,2,89.3,54.8,82.5,35.0,730.5
m,7,92.4,56.0,80.5,35.5,2556.75
f,1,84.7,51.5,75.0,34.0,365.25
f,3,91.0,55.0,84.5,36.0,1095.75
f,5,88.4,57.0,83.0,36.5,1826.25
m,3,85.3,54.1,77.0,32.0,1095.75
f,2,90.0,55.5,81.0,32.0,730.5
m,3,85.1,51.5,76.0,35.5,1095.75
m,3,90.7,55.9,81.0,34.0,1095.75
m,2,91.4,54.4,84.0,35.0,730.5
